date,上銀,研華,所羅門,直得,Date,MA20_上銀,Daily_Spike_上銀,MA20_研華,Daily_Spike_研華,MA20_所羅門,Daily_Spike_所羅門,MA20_直得,Daily_Spike_直得
2026-07-01,55,29,31,0,2026-07-01,55.0,1.0,29.0,1.0,31.0,1.0,0.0,0.0
2026-07-02,55,27,61,18,2026-07-02,55.0,1.0,28.0,0.96,46.0,1.32,9.0,1.98
2026-07-03,45,31,45,15,2026-07-03,51.67,0.87,29.0,1.07,45.67,0.98,11.0,1.35
2026-07-04,20,16,23,0,2026-07-04,43.75,0.46,25.75,0.62,40.0,0.57,8.25,0.0
2026-07-05,43,24,26,0,2026-07-05,43.6,0.98,25.4,0.94,37.2,0.7,6.6,0.0
2026-07-06,47,41,39,12,2026-07-06,44.17,1.06,28.0,1.46,37.5,1.04,7.5,1.58
2026-07-07,60,45,37,0,2026-07-07,46.43,1.29,30.43,1.47,37.43,0.99,6.43,0.0
2026-07-08,47,68,24,0,2026-07-08,46.5,1.01,35.12,1.93,35.75,0.67,5.62,0.0
2026-07-09,46,39,25,25,2026-07-09,46.44,0.99,35.56,1.09,34.56,0.72,7.78,3.17
2026-07-10,22,22,16,0,2026-07-10,44.0,0.5,34.2,0.64,32.7,0.49,7.0,0.0
2026-07-11,0,0,0,0,2026-07-11,40.0,0.0,31.09,0.0,29.73,0.0,6.36,0.0
2026-07-12,17,17,0,0,2026-07-12,38.08,0.45,29.92,0.57,27.25,0.0,5.83,0.0
2026-07-13,51,47,93,18,2026-07-13,39.08,1.3,31.23,1.5,32.31,2.87,6.77,2.62
2026-07-14,38,33,40,0,2026-07-14,39.0,0.97,31.36,1.05,32.86,1.21,6.29,0.0
2026-07-15,33,22,46,0,2026-07-15,38.6,0.85,30.73,0.71,33.73,1.36,5.87,0.0
2026-07-16,48,26,22,14,2026-07-16,39.19,1.22,30.44,0.85,33.0,0.66,6.38,2.16
2026-07-17,48,32,41,17,2026-07-17,39.71,1.21,30.53,1.04,33.47,1.22,7.0,2.39
2026-07-18,19,16,28,0,2026-07-18,38.56,0.49,29.72,0.54,33.17,0.84,6.61,0.0
2026-07-19,0,0,0,0,2026-07-19,36.53,0.0,28.16,0.0,31.42,0.0,6.26,0.0
2026-07-20,0,31,0,0,2026-07-20,34.7,0.0,28.3,1.09,29.85,0.0,5.95,0.0
2026-07-21,44,73,22,14,2026-07-21,34.15,1.28,30.5,2.39,29.4,0.75,6.65,2.07
2026-07-22,43,71,37,15,2026-07-22,33.55,1.28,32.7,2.16,28.2,1.31,6.5,2.27
2026-07-23,43,54,24,0,2026-07-23,33.45,1.28,33.85,1.59,27.15,0.88,5.75,0.0
2026-07-24,39,51,32,0,2026-07-24,34.4,1.13,35.6,1.43,27.6,1.16,5.75,0.0
2026-07-25,0,0,23,0,2026-07-25,32.25,0.0,34.4,0.0,27.45,0.83,5.75,0.0
2026-07-26,0,0,18,0,2026-07-26,29.9,0.0,32.35,0.0,26.4,0.68,5.15,0.0
2026-07-27,40,37,38,0,2026-07-27,28.9,1.38,31.95,1.15,26.45,1.43,5.15,0.0
2026-07-28,44,38,29,18,2026-07-28,28.75,1.53,30.45,1.24,26.7,1.08,6.05,2.93
