Date,Stock,SVI,Exhibition,Year,start_on,Relative_Date,MA20,Daily_Spike
2026-07-20,上銀,0.0,Tairos機器人展,2026,2026-08-19,-22,0.0,0.0
2026-07-21,上銀,44.0,Tairos機器人展,2026,2026-08-19,-21,22.0,1.99
2026-07-22,上銀,43.0,Tairos機器人展,2026,2026-08-19,-20,29.0,1.48
2026-07-23,上銀,43.0,Tairos機器人展,2026,2026-08-19,-19,32.5,1.32
2026-07-24,上銀,39.0,Tairos機器人展,2026,2026-08-19,-18,33.8,1.15
2026-07-27,上銀,13.33,Tairos機器人展,2026,2026-08-19,-17,30.39,0.44
2026-07-28,上銀,44.0,Tairos機器人展,2026,2026-08-19,-16,32.33,1.36
2026-07-29,上銀,36.0,Tairos機器人展,2026,2026-08-19,-15,32.79,1.09
2026-07-30,上銀,41.0,Tairos機器人展,2026,2026-08-19,-14,33.7,1.21
2026-07-31,上銀,34.0,Tairos機器人展,2026,2026-08-19,-13,33.73,1.01
2026-08-03,上銀,22.33,Tairos機器人展,2026,2026-08-19,-12,32.7,0.68
2026-08-04,上銀,55.0,Tairos機器人展,2026,2026-08-19,-11,34.56,1.59
2026-08-05,上銀,63.0,Tairos機器人展,2026,2026-08-19,-10,36.74,1.71
2026-08-06,上銀,68.0,Tairos機器人展,2026,2026-08-19,-9,38.98,1.74
2026-08-07,上銀,84.0,Tairos機器人展,2026,2026-08-19,-8,41.98,2.0
2026-08-10,上銀,47.0,Tairos機器人展,2026,2026-08-19,-7,42.29,1.11
2026-08-11,上銀,52.0,Tairos機器人展,2026,2026-08-19,-6,42.86,1.21
2026-08-12,上銀,70.0,Tairos機器人展,2026,2026-08-19,-5,44.37,1.57
2026-08-13,上銀,79.0,Tairos機器人展,2026,2026-08-19,-4,46.19,1.71
2026-08-14,上銀,52.0,Tairos機器人展,2026,2026-08-19,-3,46.48,1.12
2026-08-17,上銀,32.33,Tairos機器人展,2026,2026-08-19,-2,48.1,0.67
2026-08-18,上銀,50.0,Tairos機器人展,2026,2026-08-19,-1,48.4,1.03
2026-08-19,上銀,51.0,Tairos機器人展,2026,2026-08-19,0,48.8,1.04
2026-08-20,上銀,51.0,Tairos機器人展,2026,2026-08-19,1,49.2,1.03
2026-08-21,上銀,44.0,Tairos機器人展,2026,2026-08-19,2,49.45,0.89
2026-08-24,上銀,27.33,Tairos機器人展,2026,2026-08-19,3,50.15,0.54
2026-08-25,上銀,43.0,Tairos機器人展,2026,2026-08-19,4,50.1,0.86
2026-08-26,上銀,43.0,Tairos機器人展,2026,2026-08-19,5,50.45,0.85
2026-08-27,上銀,40.0,Tairos機器人展,2026,2026-08-19,6,50.4,0.79
2026-07-20,研華,15.5,Tairos機器人展,2026,2026-08-19,-22,15.5,0.99
2026-07-21,研華,73.0,Tairos機器人展,2026,2026-08-19,-21,44.25,1.65
2026-07-22,研華,71.0,Tairos機器人展,2026,2026-08-19,-20,53.17,1.33
2026-07-23,研華,54.0,Tairos機器人展,2026,2026-08-19,-19,53.38,1.01
2026-07-24,研華,51.0,Tairos機器人展,2026,2026-08-19,-18,52.9,0.96
2026-07-27,研華,12.33,Tairos機器人展,2026,2026-08-19,-17,46.14,0.27
2026-07-28,研華,38.0,Tairos機器人展,2026,2026-08-19,-16,44.98,0.84
2026-07-29,研華,33.0,Tairos機器人展,2026,2026-08-19,-15,43.48,0.76
2026-07-30,研華,37.0,Tairos機器人展,2026,2026-08-19,-14,42.76,0.86
2026-07-31,研華,45.0,Tairos機器人展,2026,2026-08-19,-13,42.98,1.04
2026-08-03,研華,31.33,Tairos機器人展,2026,2026-08-19,-12,41.92,0.75
2026-08-04,研華,32.0,Tairos機器人展,2026,2026-08-19,-11,41.1,0.78
2026-08-05,研華,100.0,Tairos機器人展,2026,2026-08-19,-10,45.63,2.19
2026-08-06,研華,67.0,Tairos機器人展,2026,2026-08-19,-9,47.15,1.42
2026-08-07,研華,63.0,Tairos機器人展,2026,2026-08-19,-8,48.21,1.3
2026-08-10,研華,35.67,Tairos機器人展,2026,2026-08-19,-7,47.43,0.75
2026-08-11,研華,48.0,Tairos機器人展,2026,2026-08-19,-6,47.46,1.01
2026-08-12,研華,62.0,Tairos機器人展,2026,2026-08-19,-5,48.27,1.28
2026-08-13,研華,41.0,Tairos機器人展,2026,2026-08-19,-4,47.89,0.85
2026-08-14,研華,32.0,Tairos機器人展,2026,2026-08-19,-3,47.09,0.68
2026-08-17,研華,23.67,Tairos機器人展,2026,2026-08-19,-2,47.5,0.5
2026-08-18,研華,52.0,Tairos機器人展,2026,2026-08-19,-1,46.45,1.12
