Stock,Date,Relative_Date,Begin_price,Current_price,Accumulate_ret,Accumulate_ave_ret,Exhibition,Year
上銀,2026-07-20,-22,320.5,300.0,-6.4,-6.4,Tairos機器人展,2026
上銀,2026-07-21,-21,320.5,305.0,-4.84,-2.42,Tairos機器人展,2026
上銀,2026-07-22,-20,320.5,320.5,0.0,0.0,Tairos機器人展,2026
上銀,2026-07-23,-19,320.5,319.5,-0.31,-0.08,Tairos機器人展,2026
上銀,2026-07-24,-18,320.5,313.0,-2.34,-0.47,Tairos機器人展,2026
上銀,2026-07-27,-17,320.5,323.0,0.78,0.13,Tairos機器人展,2026
上銀,2026-07-28,-16,320.5,300.0,-6.4,-0.91,Tairos機器人展,2026
上銀,2026-07-29,-15,320.5,290.5,-9.36,-1.17,Tairos機器人展,2026
上銀,2026-07-30,-14,320.5,283.0,-11.7,-1.3,Tairos機器人展,2026
上銀,2026-07-31,-13,320.5,304.5,-4.99,-0.5,Tairos機器人展,2026
上銀,2026-08-03,-12,320.5,332.0,3.59,0.33,Tairos機器人展,2026
上銀,2026-08-04,-11,320.5,332.0,3.59,0.3,Tairos機器人展,2026
上銀,2026-08-05,-10,320.5,365.0,13.88,1.07,Tairos機器人展,2026
上銀,2026-08-06,-9,320.5,362.0,12.95,0.92,Tairos機器人展,2026
上銀,2026-08-07,-8,320.5,387.0,20.75,1.38,Tairos機器人展,2026
上銀,2026-08-10,-7,320.5,387.0,20.75,1.3,Tairos機器人展,2026
上銀,2026-08-11,-6,320.5,368.0,14.82,0.87,Tairos機器人展,2026
上銀,2026-08-12,-5,320.5,369.0,15.13,0.84,Tairos機器人展,2026
上銀,2026-08-13,-4,320.5,381.0,18.88,0.99,Tairos機器人展,2026
上銀,2026-08-14,-3,320.5,373.5,16.54,0.83,Tairos機器人展,2026
上銀,2026-08-17,-2,320.5,381.5,19.03,0.91,Tairos機器人展,2026
上銀,2026-08-18,-1,320.5,368.0,14.82,0.67,Tairos機器人展,2026
上銀,2026-08-19,0,320.5,367.0,14.51,0.63,Tairos機器人展,2026
上銀,2026-08-20,1,320.5,366.5,14.35,0.6,Tairos機器人展,2026
上銀,2026-08-21,2,320.5,349.0,8.89,0.36,Tairos機器人展,2026
上銀,2026-08-24,3,320.5,343.5,7.18,0.28,Tairos機器人展,2026
