Stock,Date,Relative_Date,Begin_price,Current_price,Accumulate_ret,Accumulate_ave_ret,Exhibition,Year
廣達,2026-04-07,-39,307.856689453125,277.1669311523437,-9.97,-9.97,Computex電腦展,2026
廣達,2026-04-08,-38,307.856689453125,294.9094543457031,-4.21,-2.1,Computex電腦展,2026
廣達,2026-04-09,-37,307.856689453125,300.18426513671875,-2.49,-0.83,Computex電腦展,2026
廣達,2026-04-10,-36,307.856689453125,308.3362121582031,0.16,0.04,Computex電腦展,2026
廣達,2026-04-13,-35,307.856689453125,305.9385986328125,-0.62,-0.12,Computex電腦展,2026
廣達,2026-04-14,-34,307.856689453125,309.7748107910156,0.62,0.1,Computex電腦展,2026
廣達,2026-04-15,-33,307.856689453125,295.8684997558594,-3.89,-0.56,Computex電腦展,2026
廣達,2026-04-16,-32,307.856689453125,305.45904541015625,-0.78,-0.1,Computex電腦展,2026
廣達,2026-04-17,-31,307.856689453125,309.7748107910156,0.62,0.07,Computex電腦展,2026
廣達,2026-04-20,-30,307.856689453125,315.5291442871094,2.49,0.25,Computex電腦展,2026
廣達,2026-04-21,-29,307.856689453125,326.0787353515625,5.92,0.54,Computex電腦展,2026
廣達,2026-04-22,-28,307.856689453125,321.2834777832031,4.36,0.36,Computex電腦展,2026
廣達,2026-04-23,-27,307.856689453125,308.8157653808594,0.31,0.02,Computex電腦展,2026
廣達,2026-04-24,-26,307.856689453125,309.7748107910156,0.62,0.04,Computex電腦展,2026
廣達,2026-04-27,-25,307.856689453125,312.1724548339844,1.4,0.09,Computex電腦展,2026
廣達,2026-04-28,-24,307.856689453125,307.856689453125,0.0,0.0,Computex電腦展,2026
廣達,2026-04-29,-23,307.856689453125,308.8157653808594,0.31,0.02,Computex電腦展,2026
廣達,2026-04-30,-22,307.856689453125,299.7047119140625,-2.65,-0.15,Computex電腦展,2026
廣達,2026-05-04,-21,307.856689453125,304.9795227050781,-0.93,-0.05,Computex電腦展,2026
廣達,2026-05-05,-20,307.856689453125,307.856689453125,0.0,0.0,Computex電腦展,2026
廣達,2026-05-06,-19,307.856689453125,332.3125915527344,7.94,0.38,Computex電腦展,2026
廣達,2026-05-07,-18,307.856689453125,329.9149780273437,7.17,0.33,Computex電腦展,2026
廣達,2026-05-08,-17,307.856689453125,326.5582580566406,6.07,0.26,Computex電腦展,2026
廣達,2026-05-11,-16,307.856689453125,329.4354248046875,7.01,0.29,Computex電腦展,2026
廣達,2026-05-12,-15,307.856689453125,326.0787353515625,5.92,0.24,Computex電腦展,2026
廣達,2026-05-13,-14,307.856689453125,326.5582580566406,6.07,0.23,Computex電腦展,2026
廣達,2026-05-14,-13,307.856689453125,320.8039245605469,4.21,0.16,Computex電腦展,2026
廣達,2026-05-15,-12,307.856689453125,293.4708557128906,-4.67,-0.17,Computex電腦展,2026
廣達,2026-05-18,-11,307.856689453125,287.716552734375,-6.54,-0.23,Computex電腦展,2026
廣達,2026-05-19,-10,307.856689453125,278.1259765625,-9.66,-0.32,Computex電腦展,2026
廣達,2026-05-20,-9,307.856689453125,278.1259765625,-9.66,-0.31,Computex電腦展,2026
廣達,2026-05-21,-8,307.856689453125,295.38897705078125,-4.05,-0.13,Computex電腦展,2026
廣達,2026-05-22,-7,307.856689453125,303.0614318847656,-1.56,-0.05,Computex電腦展,2026
廣達,2026-05-25,-6,307.856689453125,303.5409545898437,-1.4,-0.04,Computex電腦展,2026
廣達,2026-05-26,-5,307.856689453125,303.5409545898437,-1.4,-0.04,Computex電腦展,2026
廣達,2026-05-27,-4,307.856689453125,299.2251892089844,-2.8,-0.08,Computex電腦展,2026
廣達,2026-05-28,-3,307.856689453125,295.8684997558594,-3.89,-0.11,Computex電腦展,2026
廣達,2026-05-29,-2,307.856689453125,325.11968994140625,5.61,0.15,Computex電腦展,2026
廣達,2026-06-01,-1,307.856689453125,357.248046875,16.04,0.41,Computex電腦展,2026
廣達,2026-06-02,0,307.856689453125,384.1015930175781,24.77,0.62,Computex電腦展,2026
廣達,2026-06-03,1,307.856689453125,399.9259948730469,29.91,0.73,Computex電腦展,2026
廣達,2026-06-04,2,307.856689453125,387.4582824707031,25.86,0.62,Computex電腦展,2026
廣達,2026-06-05,3,307.856689453125,374.5110168457031,21.65,0.5,Computex電腦展,2026
廣達,2026-06-08,4,307.856689453125,361.0842590332031,17.29,0.39,Computex電腦展,2026
廣達,2026-06-09,5,307.856689453125,359.6456604003906,16.82,0.37,Computex電腦展,2026
廣達,2026-06-10,6,307.856689453125,364.9204711914063,18.54,0.4,Computex電腦展,2026
廣達,2026-06-11,7,307.856689453125,354.85040283203125,15.26,0.32,Computex電腦展,2026
廣達,2026-06-12,8,307.856689453125,356.7684936523437,15.89,0.33,Computex電腦展,2026
華碩,2026-04-07,-39,554.5999755859375,517.0,-6.78,-6.78,Computex電腦展,2026
華碩,2026-04-08,-38,554.5999755859375,528.2799682617188,-4.75,-2.37,Computex電腦展,2026
華碩,2026-04-09,-37,554.5999755859375,533.9199829101562,-3.73,-1.24,Computex電腦展,2026
華碩,2026-04-10,-36,554.5999755859375,543.3200073242188,-2.03,-0.51,Computex電腦展,2026
華碩,2026-04-13,-35,554.5999755859375,543.3200073242188,-2.03,-0.41,Computex電腦展,2026
華碩,2026-04-14,-34,554.5999755859375,545.2000122070312,-1.69,-0.28,Computex電腦展,2026
華碩,2026-04-15,-33,554.5999755859375,548.9600219726562,-1.02,-0.15,Computex電腦展,2026
華碩,2026-04-16,-32,554.5999755859375,553.6599731445312,-0.17,-0.02,Computex電腦展,2026
華碩,2026-04-17,-31,554.5999755859375,563.0599975585938,1.53,0.17,Computex電腦展,2026
華碩,2026-04-20,-30,554.5999755859375,568.7000122070312,2.54,0.25,Computex電腦展,2026
華碩,2026-04-21,-29,554.5999755859375,563.0599975585938,1.53,0.14,Computex電腦展,2026
華碩,2026-04-22,-28,554.5999755859375,572.4600219726562,3.22,0.27,Computex電腦展,2026
華碩,2026-04-23,-27,554.5999755859375,562.1199951171875,1.36,0.1,Computex電腦展,2026
華碩,2026-04-24,-26,554.5999755859375,549.9000244140625,-0.85,-0.06,Computex電腦展,2026
華碩,2026-04-27,-25,554.5999755859375,552.719970703125,-0.34,-0.02,Computex電腦展,2026
華碩,2026-04-28,-24,554.5999755859375,552.719970703125,-0.34,-0.02,Computex電腦展,2026
華碩,2026-04-29,-23,554.5999755859375,552.719970703125,-0.34,-0.02,Computex電腦展,2026
華碩,2026-04-30,-22,554.5999755859375,546.1400146484375,-1.53,-0.08,Computex電腦展,2026
華碩,2026-05-04,-21,554.5999755859375,555.5399780273438,0.17,0.01,Computex電腦展,2026
華碩,2026-05-05,-20,554.5999755859375,554.5999755859375,0.0,0.0,Computex電腦展,2026
華碩,2026-05-06,-19,554.5999755859375,591.260009765625,6.61,0.31,Computex電腦展,2026
華碩,2026-05-07,-18,554.5999755859375,600.6599731445312,8.31,0.38,Computex電腦展,2026
華碩,2026-05-08,-17,554.5999755859375,611.0,10.17,0.44,Computex電腦展,2026
華碩,2026-05-11,-16,554.5999755859375,644.8400268554688,16.27,0.68,Computex電腦展,2026
華碩,2026-05-12,-15,554.5999755859375,632.6199951171875,14.07,0.56,Computex電腦展,2026
華碩,2026-05-13,-14,554.5999755859375,623.219970703125,12.37,0.48,Computex電腦展,2026
華碩,2026-05-14,-13,554.5999755859375,638.260009765625,15.08,0.56,Computex電腦展,2026
華碩,2026-05-15,-12,554.5999755859375,602.5399780273438,8.64,0.31,Computex電腦展,2026
華碩,2026-05-18,-11,554.5999755859375,596.9000244140625,7.63,0.26,Computex電腦展,2026
華碩,2026-05-19,-10,554.5999755859375,603.47998046875,8.81,0.29,Computex電腦展,2026
華碩,2026-05-20,-9,554.5999755859375,601.5999755859375,8.47,0.27,Computex電腦展,2026
華碩,2026-05-21,-8,554.5999755859375,616.6400146484375,11.19,0.35,Computex電腦展,2026
華碩,2026-05-22,-7,554.5999755859375,641.0800170898438,15.59,0.47,Computex電腦展,2026
華碩,2026-05-25,-6,554.5999755859375,666.4600219726562,20.17,0.59,Computex電腦展,2026
華碩,2026-05-26,-5,554.5999755859375,657.0599975585938,18.47,0.53,Computex電腦展,2026
華碩,2026-05-27,-4,554.5999755859375,658.9400024414062,18.81,0.52,Computex電腦展,2026
華碩,2026-05-28,-3,554.5999755859375,650.47998046875,17.29,0.47,Computex電腦展,2026
華碩,2026-05-29,-2,554.5999755859375,715.3400268554688,28.98,0.76,Computex電腦展,2026
